FROM	TO	BAYES_FACTOR	POSTERIOR PROBABILITY
Australia	CentralAmericaandCaribbean	0.4524279943044288	0.019886679257860237
Australia	CentralSouthEasternAsia	0.5655963935929631	0.024737992074954633
Australia	EasternAsia	0.6869134890659269	0.0298855682701922
Australia	Europe	0.42752673709973005	0.01881272451209125
Australia	LowerSouthEasternAsia	243.29962745952457	0.9160463652186794
Australia	NorthAmerica	0.4661899928106748	0.020479206014146576
Australia	Oceania	0.41552494015046515	0.018294263600340702
Australia	WesternAsia	0.8566212086812425	0.036995889345628266
Australia	SouthAmerica	0.4198098406799104	0.018479428211680183
Australia	UpperSouthEasternAsia	1.2542282566300558	0.05325334222123468
Australia	EasternAfrica	0.4198098406799104	0.018479428211680183
Australia	WesternAfrica	0.3881398068379493	0.017109210087768025
Australia	NothernAfrica	2.3716673717098127	0.09613746620745843
Australia	SouthernAfrica	0.4524279943044288	0.019886679257860237
Australia	Mombasa	2105.2976714163497	0.9895196829981854
Australia	Ukunda	0.54564571978849	0.023886234862793024
Australia	Msambweni	0.42838449366813924	0.018849757434359144
Australia	Malindi	0.4078161911294849	0.017960967299929638
Australia	Lamu	0.5586530774391686	0.024441728696811466
Australia	Wajir	0.4386826253560788	0.0192941525015739
Australia	Mtwapa	0.5890612616505125	0.02573788097618783
Australia	Voi	3.7991049634221756	0.1455764174350998
Australia	CentralAfrica	0.4292423149899979	0.01888679035662704
CentralAmericaandCaribbean	CentralSouthEasternAsia	0.9352442884605788	0.04025478650520312
CentralAmericaandCaribbean	EasternAsia	1.0207230230992617	0.04377291412065326
CentralAmericaandCaribbean	Europe	1.0605266599699228	0.04540236270044069
CentralAmericaandCaribbean	LowerSouthEasternAsia	0.9307627638136142	0.04006962189386364
CentralAmericaandCaribbean	NorthAmerica	1.0406078703339419	0.04458763841054698
CentralAmericaandCaribbean	Oceania	1.0288536363522018	0.04410621042106433
CentralAmericaandCaribbean	WesternAsia	1.0306612093411738	0.044180276265600116
CentralAmericaandCaribbean	SouthAmerica	0.9388307534304451	0.04040291819427471
CentralAmericaandCaribbean	UpperSouthEasternAsia	1.6219374926416805	0.06780728067251787
CentralAmericaandCaribbean	EasternAfrica	0.9235959194154046	0.039773358515720475
CentralAmericaandCaribbean	WesternAfrica	0.9343478451965131	0.04021775358293523
CentralAmericaandCaribbean	NothernAfrica	0.8744433276737106	0.03773654779098619
CentralAmericaandCaribbean	SouthernAfrica	1.2394972584404846	0.052660815464948336
CentralAmericaandCaribbean	Mombasa	0.9711588348739255	0.041736103395918975
CentralAmericaandCaribbean	Ukunda	1.0053806521819941	0.043143354442099026
CentralAmericaandCaribbean	Msambweni	1.008988805226589	0.04329148613117061
CentralAmericaandCaribbean	Malindi	1.047847134777094	0.044883901788690145
CentralAmericaandCaribbean	Lamu	1.0080866622193678	0.04325445320890271
CentralAmericaandCaribbean	Wajir	0.9675623843915132	0.04158797170684739
CentralAmericaandCaribbean	Mtwapa	1.822203525382368	0.07554716142650816
CentralAmericaandCaribbean	Voi	1.2468604533866463	0.05295707884309151
CentralAmericaandCaribbean	CentralAfrica	0.8486101959970025	0.0366625930452172
CentralSouthEasternAsia	EasternAsia	1.5735724893816507	0.06591860163685516
CentralSouthEasternAsia	Europe	0.24882108160746458	0.011035810835833056
CentralSouthEasternAsia	LowerSouthEasternAsia	0.23447732564776863	0.01040625115727882
CentralSouthEasternAsia	NorthAmerica	0.2505097830168898	0.011109876680368847
CentralSouthEasternAsia	Oceania	0.2530433094853561	0.011220975447172536
CentralSouthEasternAsia	WesternAsia	0.30298528713834605	0.01340591786097841
CentralSouthEasternAsia	SouthAmerica	0.29874433895222585	0.01322075324963893
CentralSouthEasternAsia	UpperSouthEasternAsia	0.31826589035069963	0.01407251046180054
CentralSouthEasternAsia	EasternAfrica	0.24122505436289365	0.01070251453542199
CentralSouthEasternAsia	WesternAfrica	0.23869418253888314	0.0105914157686183
CentralSouthEasternAsia	NothernAfrica	108.113547184938	0.8290189978891235
CentralSouthEasternAsia	SouthernAfrica	0.2995924012575471	0.013257786171906824
CentralSouthEasternAsia	Mombasa	0.4129547756144267	0.018183164833537015
CentralSouthEasternAsia	Ukunda	113.833605076963	0.8362033848090953
CentralSouthEasternAsia	Msambweni	0.22941917993271757	0.010184053623671445
CentralSouthEasternAsia	Malindi	0.26318311123707316	0.011665370514387291
CentralSouthEasternAsia	Lamu	0.27840992264150766	0.012331963115209421
CentralSouthEasternAsia	Wajir	0.23785068489800915	0.010554382846350406
CentralSouthEasternAsia	Mtwapa	0.31317006061394254	0.013850312928193163
CentralSouthEasternAsia	Voi	0.3924143801710009	0.017294374699107506
CentralSouthEasternAsia	CentralAfrica	0.2159418871021665	0.009591526867385106
EasternAsia	Europe	0.17392909007030202	0.0077398807539902975
EasternAsia	LowerSouthEasternAsia	54714.93302042863	0.9995926378550531
EasternAsia	NorthAmerica	0.1479598095048402	0.006591860163685516
EasternAsia	Oceania	0.12956638070056262	0.005777135873791801
EasternAsia	WesternAsia	0.21510009171336725	0.00955449394511721
EasternAsia	SouthAmerica	0.22015180850413282	0.009776691478724587
EasternAsia	UpperSouthEasternAsia	0.18567685960987076	0.008258341665740843
EasternAsia	EasternAfrica	0.12706052124055883	0.0056660371069881124
EasternAsia	WesternAfrica	0.18987546888082188	0.008443506277080324
EasternAsia	NothernAfrica	2.1632064748228346	0.08843461837573603
EasternAsia	SouthernAfrica	0.12038096615601822	0.005369773728844943
EasternAsia	Mombasa	0.6851587910526894	0.02981150242565641
